batch,instance,budget,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_4,3,3,1.0,67.0,67.0,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_10,3,3,1.0,67.0,67.0,67.0
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,exact,3,3,1.0,68.0,68.0,67.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,compact,1,1,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_50_4,3,3,1.0,49.0,49.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_200_10,3,3,1.0,49.0,49.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_4,3,3,1.0,47.0,47.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,greedy_10,3,3,1.0,47.0,47.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,exact,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,compact,1,1,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_50_4,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,qaia_200_10,3,3,1.0,47.0,47.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_4,3,3,1.0,47.0,47.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,greedy_10,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,10.0,exact,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,compact,1,1,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,qaia_50_4,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,qaia_200_10,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,greedy_4,3,3,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,greedy_10,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,30.0,exact,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,compact,1,1,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,qaia_50_4,3,3,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,qaia_200_10,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_4,3,3,1.0,44.0,44.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_10,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,exact,3,3,1.0,45.0,45.0,44.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,compact,1,1,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_50_4,3,2,0.6666666666666666,,70.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_4,3,3,1.0,68.0,68.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,exact,3,3,1.0,73.0,73.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,compact,1,1,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_50_4,3,3,1.0,70.0,70.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,greedy_4,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,greedy_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,exact,3,3,1.0,68.0,68.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,compact,1,1,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,qaia_50_4,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,greedy_4,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,greedy_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,30.0,exact,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,compact,1,1,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,qaia_50_4,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,qaia_200_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,greedy_4,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,greedy_10,3,3,1.0,67.0,67.0,67.0
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,60.0,exact,3,3,1.0,67.0,67.0,67.0
