batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,greedy_10,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,10.0,greedy_10,2,2,70.0,68.0,2.0,exact
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_50_4,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_50_4,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_50_4,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_200_10,0,0,68.0,68.0,0.0,tie
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_200_10,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,qaia_200_10,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_4,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_4,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_4,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_10,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_10,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,30.0,greedy_10,2,2,70.0,68.0,2.0,exact
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_50_4,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_50_4,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_50_4,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_200_10,0,0,68.0,68.0,0.0,tie
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_200_10,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,qaia_200_10,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_4,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_4,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_4,2,2,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_10,0,0,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_10,1,1,67.0,68.0,-1.0,method
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,60.0,greedy_10,2,2,68.0,68.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_50_4,0,0,49.0,45.0,4.0,exact
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,1.0,qaia_50_4,1,1,49.0,45.0,4.0,exact
