batch,instance,budget,timing_basis,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,70.0,70.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,67.0,67.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,67.0,67.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,65.0,65.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,65.0,65.0,62.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,63.0,63.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-11_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0.0,,,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0.0,,,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0.0,,,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,68.0,68.0,68.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,1.0,69.0,69.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,77.0,77.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,69.0,69.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,69.0,69.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,71.0,71.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,68.0,68.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,65.0,65.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,68.0,68.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,68.0,68.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,71.0,71.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,74.0,74.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,66.0,66.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,63.0,63.0,62.0
cim_active_20260923_184108,2019-03-12_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,77.0,77.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,71.0,71.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,75.0,75.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,71.0,71.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,71.0,71.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,73.0,73.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,62.0,62.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,69.0,69.0,62.0
cim_active_20260923_184108,2019-03-12_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,68.0,68.0,62.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,66.0,66.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,65.0,65.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0.0,,,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,65.0,65.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,65.0,65.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0.0,,,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0.0,,,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,64.0,64.0,64.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,3,1.0,70.0,70.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,69.0,69.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,70.0,70.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,69.0,69.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,66.0,66.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,70.0,70.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,65.0,65.0,65.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,63.0,63.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,70.0,70.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,74.0,74.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,63.0,63.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,0,0.0,,,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,70.0,70.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,74.0,74.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,63.0,63.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,0,0.0,,,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,67.0,67.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,69.0,69.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,63.0,63.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,0,0.0,,,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,65.0,65.0,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,65.0,65.0,63.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,compact,1,1,1.0,61.0,61.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,cim,3,0,0.0,,,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,qaia_tuned,3,3,1.0,74.0,74.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,10.0,exact,1,1,1.0,79.0,79.0,61.0
